geocode,geocode_provincia,geocode_isla,municipio,sueprficie,perimetro,longitud,latitud,longitud_capital,latitud_capital
35001,ES701,ES705,Agaete,4451.16,41038,-15.689645,28.073135,-15.698739,28.099193
35002,ES701,ES705,Agüimes,7889.72,55508,-15.453004,27.897893,-15.445914,27.903927
35003,ES701,ES704,Antigua,25024.8,79292,-13.945579,28.352768,-14.014024,28.423412
35004,ES701,ES708,Arrecife,2427.54,36641,-13.551117,28.978878,-13.546719,28.959235
35005,ES701,ES705,Artenara,6641.9,50791,-15.682966,28.018075,-15.646436,28.020308
35006,ES701,ES705,Arucas,3283.87,38491,-15.521094,28.119097,-15.525382,28.118491
35007,ES701,ES704,Betancuria,10370.9,51679,-14.097009,28.435042,-14.057803,28.424732
35008,ES701,ES705,Firgas,1602.78,24002,-15.559765,28.110527,-15.563323,28.107765
35009,ES701,ES705,Gáldar,6254.51,63267,-15.655537,28.095862,-15.653237,28.145522
35010,ES701,ES708,Haría,14565.3,119999,-13.474817,29.160692,-13.499847,29.146093
35011,ES701,ES705,Ingenio,3908.81,44792,-15.423652,27.929606,-15.443647,27.919557
35012,ES701,ES705,Mogán,17142.0,77018,-15.729456,27.852419,-15.723836,27.883888
35013,ES701,ES705,Moya,3220.46,43229,-15.593646,28.083029,-15.583339,28.110822
35014,ES701,ES704,La Oliva,35533.4,117990,-13.923243,28.660428,-13.927763,28.610297
35015,ES701,ES704,Pájara,38493.8,171470,-14.176668,28.225107,-14.107635,28.350859
35016,ES701,ES705,Las Palmas de Gran Canaria,10331.6,108650,-15.458582,28.102743,-15.428533,28.125058
35017,ES701,ES704,Puerto del Rosario,29077.1,92564,-13.971636,28.499263,-13.859694,28.498774
35018,ES701,ES708,San Bartolomé,4076.11,28291,-13.614679,28.985178,-13.614041,29.001374
35019,ES701,ES705,San Bartolomé de Tirajana,33241.9,107153,-15.588162,27.850192,-15.572974,27.925113
35020,ES701,ES705,La Aldea de San Nicolás,12370.8,56070,-15.782221,27.945446,-15.780259,27.984808
35021,ES701,ES705,Santa Brígida,2383.19,25497,-15.491722,28.033033,-15.499179,28.033988
35022,ES701,ES705,Santa Lucía de Tirajana,6252.83,58200,-15.519015,27.877841,-15.540675,27.912036
35023,ES701,ES705,Santa María de Guía de Gran Canaria,4261.82,45372,-15.610644,28.105388,-15.632885,28.138879
35024,ES701,ES708,Teguise,22400.6,75744,-13.551053,29.05863,-13.56122,29.05723
